date,price
19-Mar-12,0.005
20-Mar-12,0.038
21-Mar-12,0.013
22-Mar-12,0.035
23-Mar-12,0.015
26-Mar-12,-0.03
27-Mar-12,-0.015
28-Mar-12,0.005
29-Mar-12,0.015
30-Mar-12,-0.02
2-Apr-12,-0.04
3-Apr-12,-0.03
4-Apr-12,0.03
5-Apr-12,0.025
6-Apr-12,-0.001
9-Apr-12,0.005
10-Apr-12,0.005
11-Apr-12,-0.05
12-Apr-12,-0.075
13-Apr-12,-0.04
16-Apr-12,-0.04
17-Apr-12,-0.04
18-Apr-12,-0.035
19-Apr-12,-0.015
20-Apr-12,-0.065
23-Apr-12,-0.03
24-Apr-12,-0.05
25-Apr-12,-0.07
26-Apr-12,-0.19
27-Apr-12,-0.085
30-Apr-12,-0.085
1-May-12,-0.085
2-May-12,-0.065
3-May-12,-0.055
4-May-12,-0.045
7-May-12,-0.04
8-May-12,-0.04
9-May-12,-0.045
10-May-12,-0.07
11-May-12,-0.041
14-May-12,-0.015
15-May-12,-0.001
16-May-12,0.04
17-May-12,0.01
18-May-12,0.018
21-May-12,-0.005
22-May-12,-0.053
23-May-12,-0.02
24-May-12,0.01
25-May-12,0.01
28-May-12,0.007
29-May-12,0.02
30-May-12,0.015
31-May-12,0.005
1-Jun-12,0.015
4-Jun-12,-0.01
5-Jun-12,0.002
6-Jun-12,-0.02
7-Jun-12,-0.023
8-Jun-12,0.002
11-Jun-12,0.003
12-Jun-12,0.015
13-Jun-12,-0.01
14-Jun-12,0.002
15-Jun-12,-0.002
18-Jun-12,-0.025
19-Jun-12,-0.015
20-Jun-12,-0.003
21-Jun-12,0.015
22-Jun-12,0.01
25-Jun-12,0.002
26-Jun-12,-0.01
27-Jun-12,-0.005
28-Jun-12,-0.01
29-Jun-12,-0.026
2-Jul-12,-0.013
3-Jul-12,-0.022
4-Jul-12,-0.015
5-Jul-12,-0.02
6-Jul-12,-0.003
9-Jul-12,0.015
10-Jul-12,0.01
11-Jul-12,-0.01
12-Jul-12,0.015
13-Jul-12,0.015
16-Jul-12,0.01
17-Jul-12,-0.01
18-Jul-12,-0.01
19-Jul-12,-0.002
20-Jul-12,-0.004
23-Jul-12,0.02
24-Jul-12,0.03
25-Jul-12,-0.002
26-Jul-12,-0.01
27-Jul-12,-0.005
30-Jul-12,-0.01
31-Jul-12,-0.025
1-Aug-12,-0.032
2-Aug-12,-0.02
3-Aug-12,-0.015
6-Aug-12,-0.04
7-Aug-12,-0.033
8-Aug-12,-0.015
9-Aug-12,-0.01
10-Aug-12,0.01
13-Aug-12,0.01
14-Aug-12,0.008
15-Aug-12,0.02
16-Aug-12,0.015
17-Aug-12,0.025
20-Aug-12,0.028
21-Aug-12,0.015
